mes,anio,interv_bcrp,reservas,pbi,precio_zinc,precio_oro,precio_cobre,Inflación PERU,TC,inflacion_usa,mes_num
Ene,2015,1,62639.55,442.23,95.96,1249.45,265.58,3.07,3.01,0.0,1
Feb,2015,0,62203.77,439.84,95.15,1227.19,259.88,2.77,3.08,0.0,2
Mar,2015,1,61436.6,474.45,92.02,1178.63,269.42,3.02,3.09,0.0,3
Abr,2015,0,61823.57,486.12,99.99,1197.96,273.9,3.02,3.12,0.0,4
May,2015,0,61026.88,479.87,103.43,1198.19,285.48,3.37,3.15,0.0,5
Jun,2015,0,60244.0,481.04,94.44,1181.5,264.58,3.54,3.16,0.0,6
Jul,2015,0,59668.57,489.41,90.75,1130.04,247.51,3.56,3.18,0.0,7
Ago,2015,0,60054.42,477.18,81.99,1118.31,232.61,4.04,3.24,0.0,8
Sep,2015,1,61846.32,477.18,78.03,1124.53,236.65,3.9,3.22,0.0,9
Oct,2015,0,62132.88,496.81,78.21,1159.25,236.6,3.66,3.25,0.0,10
Nov,2015,0,62572.48,489.32,71.82,1085.7,217.72,4.17,3.34,0.0,11
Dic,2015,1,61963.0,543.21,69.32,1068.47,210.62,4.4,3.39,0.01,12
Ene,2016,0,60938.31,457.89,69.12,1095.7,203.34,4.61,3.44,0.01,1
Feb,2016,0,60379.38,468.1,77.56,1199.91,208.59,4.47,3.51,0.01,2
Mar,2016,0,61197.95,491.29,81.66,1244.13,224.79,4.3,3.41,0.01,3
Abr,2016,1,61521.82,499.57,84.16,1242.26,221.02,3.91,3.3,0.01,4
May,2016,0,60854.98,503.26,84.98,1258.63,213.76,3.54,3.34,0.01,5
Jun,2016,1,60143.41,498.25,91.91,1276.4,210.56,3.34,3.32,0.01,6
Jul,2016,1,60563.58,506.93,99.03,1337.33,220.67,2.96,3.31,0.01,7
Ago,2016,0,61600.86,504.74,103.46,1340.12,215.24,2.94,3.34,0.01,8
Sep,2016,0,61946.45,504.74,103.98,1326.03,214.2,3.13,3.38,0.01,9
Oct,2016,0,61679.74,507.65,104.85,1266.57,214.61,3.41,3.39,0.01,10
Nov,2016,0,61723.4,506.53,116.4,1235.98,247.25,3.35,3.4,0.01,11
Dic,2016,0,61667.51,562.11,120.45,1148.97,255.91,3.23,3.4,0.01,12
Ene,2017,0,62313.71,480.86,122.82,1191.09,260.55,3.1,3.34,0.01,1
Feb,2017,0,62337.64,471.78,129.07,1234.36,269.48,3.25,3.26,0.01,2
Mar,2017,0,62472.43,497.0,125.96,1231.09,264.2,3.97,3.27,0.01,3
Abr,2017,0,63042.49,501.13,118.59,1267.48,257.71,3.69,3.25,0.01,4
May,2017,0,63199.61,521.67,117.63,1246.81,254.29,3.04,3.27,0.01,5
Jun,2017,1,63182.14,518.03,116.73,1260.26,259.44,2.73,3.27,0.01,6
Jul,2017,0,63022.36,518.24,126.42,1236.22,271.48,2.85,3.25,0.01,7
Ago,2017,0,61845.89,519.17,135.35,1282.45,294.5,3.17,3.24,0.01,8
Sep,2017,1,63314.76,519.17,141.38,1314.98,298.34,2.94,3.25,0.01,9
Oct,2017,0,63900.28,525.97,148.08,1279.51,308.79,2.04,3.25,0.01,10
Nov,2017,0,63679.94,516.82,146.48,1282.28,309.65,1.54,3.24,0.01,11
Dic,2017,1,63366.42,570.09,145.27,1263.9,311.07,1.36,3.25,0.02,12
Ene,2018,0,64106.77,494.67,155.9,1330.14,320.78,1.25,3.22,0.02,1
Feb,2018,0,62623.96,484.59,160.25,1331.53,317.81,1.18,3.25,0.02,2
Mar,2018,1,61840.42,516.29,148.32,1324.62,308.16,0.36,3.25,0.02,3
Abr,2018,1,61022.52,541.64,144.81,1334.22,310.41,0.48,3.23,0.02,4
May,2018,0,60528.1,556.66,138.74,1303.32,309.6,0.48,3.27,0.02,5
Jun,2018,0,60015.44,528.77,140.1,1281.57,315.97,1.43,3.27,0.02,6
Jul,2018,0,60465.12,531.75,120.48,1238.53,283.53,1.62,3.28,0.02,7
Ago,2018,0,60667.55,531.22,114.0,1201.09,274.55,1.07,3.29,0.02,8
Sep,2018,0,59477.3,531.22,110.44,1198.47,274.46,1.28,3.31,0.02,9
Oct,2018,0,58993.94,547.45,121.28,1215.39,282.12,1.84,3.33,0.02,10
Nov,2018,1,59172.79,542.98,117.74,1220.95,281.04,2.17,3.38,0.02,11
Dic,2018,0,60528.17,596.93,118.3,1251.43,274.95,2.19,3.37,0.03,12
Ene,2019,0,61678.02,502.99,116.46,1291.31,269.41,2.13,3.35,0.03,1
Feb,2019,0,62955.64,494.68,122.8,1320.07,285.79,2.0,3.32,0.03,2
Mar,2019,0,64036.01,533.78,129.3,1300.9,292.09,2.25,3.31,0.03,3
Abr,2019,0,64949.88,541.62,132.75,1285.47,292.13,2.59,3.3,0.03,4
May,2019,0,65704.31,560.5,124.62,1283.65,273.21,2.73,3.33,0.03,5
Jun,2019,0,66391.52,543.67,117.99,1359.04,266.81,2.29,3.33,0.03,6
Jul,2019,1,66956.19,552.65,110.97,1412.98,269.49,2.11,3.29,0.02,7
Ago,2019,0,68049.51,550.95,103.06,1499.03,258.78,2.04,3.38,0.02,8
Sep,2019,1,68539.43,550.95,105.76,1511.31,261.24,1.85,3.36,0.02,9
Oct,2019,0,68537.64,562.28,111.21,1494.8,261.15,1.88,3.36,0.02,10
Nov,2019,1,67620.0,555.52,110.02,1470.02,265.8,1.87,3.37,0.02,11
Dic,2019,0,68605.23,604.33,103.11,1480.2,276.11,1.9,3.36,0.02,12
Ene,2020,0,68895.76,519.6,106.64,1559.03,273.8,1.89,3.33,0.02,1
Feb,2020,0,68599.78,517.33,95.85,1597.1,257.99,1.9,3.39,0.02,2
Mar,2020,0,68077.72,439.79,86.35,1591.93,235.08,1.82,3.49,0.0,3
Abr,2020,0,71517.4,328.88,86.27,1682.72,229.16,1.72,3.4,0.0,4
May,2020,0,74195.73,377.06,89.69,1716.61,237.73,1.78,3.42,0.0,5
Jun,2020,0,73503.34,445.24,91.88,1732.22,261.02,1.6,3.47,0.0,6
Jul,2020,0,74251.32,491.75,98.72,1843.31,288.89,1.86,3.52,0.0,7
Ago,2020,0,74823.13,500.46,109.43,1968.03,295.19,1.69,3.57,0.0,8
Sep,2020,1,74883.06,500.46,111.15,1922.21,304.47,1.82,3.56,0.0,9
Oct,2020,0,73716.1,543.98,110.75,1900.28,304.03,1.72,3.6,0.0,10
Nov,2020,1,73076.2,543.82,121.1,1863.49,320.39,2.14,3.61,0.0,11
Dic,2020,1,76301.51,610.57,126.34,1859.65,351.92,1.97,3.61,0.0,12
Ene,2021,0,77601.54,514.44,122.85,1868.13,361.04,2.68,3.63,0.0,1
Feb,2021,0,77754.37,497.58,124.43,1808.18,383.75,2.4,3.65,0.0,2
Mar,2021,0,79553.64,527.2,126.63,1718.23,408.46,2.6,3.71,0.0,3
Abr,2021,1,80031.56,525.89,128.01,1758.44,421.08,2.38,3.71,0.0,4
May,2021,0,76908.16,560.33,134.74,1851.37,461.38,2.45,3.78,0.0,5
Jun,2021,1,72695.43,549.5,133.81,1834.57,436.01,3.25,3.92,0.0,6
Jul,2021,1,72138.32,557.24,133.49,1807.09,427.9,3.81,3.94,0.0,7
Ago,2021,0,73539.69,560.57,135.56,1784.63,424.42,4.95,4.09,0.0,8
Sep,2021,0,76095.6,560.57,137.84,1777.25,422.93,5.23,4.11,0.0,9
Oct,2021,0,75672.41,569.9,153.03,1776.85,443.81,5.83,4.02,0.0,10
Nov,2021,0,78939.96,564.23,150.47,1820.23,442.95,5.66,4.02,0.0,11
Dic,2021,0,78792.62,622.96,155.26,1788.03,433.32,6.43,4.04,0.0,12
Ene,2022,1,78256.79,530.17,163.79,1816.92,443.25,5.68,3.89,0.0,1
Feb,2022,0,77402.26,521.62,165.3,1856.3,450.93,6.15,3.8,0.0,2
Mar,2022,0,77208.32,547.7,180.27,1947.83,464.37,6.82,3.74,0.01,3
Abr,2022,0,77321.6,547.15,198.7,1936.7,462.3,7.96,3.74,0.01,4
May,2022,0,76981.47,574.57,172.63,1849.0,425.63,8.09,3.76,0.01,5
Jun,2022,0,75671.32,569.95,166.33,1834.83,411.48,8.81,3.75,0.02,6
Jul,2022,1,74894.89,568.35,140.49,1736.37,341.55,8.74,3.91,0.03,7
Ago,2022,0,75059.39,571.83,162.27,1765.03,361.8,8.4,3.88,0.03,8
Sep,2022,0,75393.87,571.83,142.27,1682.13,350.84,8.53,3.9,0.03,9
Oct,2022,0,75246.48,584.81,134.25,1664.45,345.69,8.28,3.98,0.03,10
Nov,2022,0,74911.54,576.77,132.62,1726.45,364.23,8.45,3.89,0.04,11
Dic,2022,1,74041.03,631.19,141.3,1797.54,379.29,8.46,3.84,0.05,12
Ene,2023,1,73779.1,527.38,148.66,1894.07,406.3,8.66,3.84,0.05,1
Feb,2023,0,74300.8,520.11,142.6,1853.43,406.2,8.65,3.84,0.05,2
Mar,2023,0,74188.18,552.63,134.09,1915.34,400.78,8.4,3.78,0.05,3
Abr,2023,0,74412.32,551.29,125.94,2001.64,399.9,7.97,3.77,0.05,4
May,2023,0,75999.78,568.14,112.83,1991.18,374.36,7.89,3.69,0.05,5
Jun,2023,0,74719.65,566.22,107.42,1941.1,380.39,6.46,3.65,0.05,6
Jul,2023,1,74361.66,562.71,108.71,1949.2,383.07,5.88,3.61,0.06,7
Ago,2023,1,73495.68,572.16,108.86,1918.17,378.89,5.58,3.7,0.06,8
Sep,2023,1,72384.5,572.16,112.86,1919.15,375.16,5.04,3.73,0.06,9
Oct,2023,0,71616.01,580.51,111.09,1916.59,360.14,4.34,3.85,0.06,10
Nov,2023,0,72755.53,580.26,115.35,1985.71,370.91,3.64,3.77,0.06,11
Dic,2023,0,73128.32,624.33,113.8,2035.71,381.2,3.24,3.74,0.06,12
Ene,2024,0,74170.43,536.15,114.61,2033.53,378.75,3.02,3.74,0.06,1
Feb,2024,1,74236.62,536.46,107.25,2025.79,376.97,3.29,3.83,0.06,2
Mar,2024,1,75553.81,550.59,111.54,2166.78,393.64,3.05,3.71,0.05,3
Abr,2024,1,76304.59,582.24,123.15,2334.16,428.56,2.42,3.72,0.05,4
May,2024,0,75426.33,599.24,134.05,2349.48,458.93,2.0,3.74,0.05,5
Jun,2024,0,75443.55,568.46,127.59,2327.94,437.34,2.29,3.79,0.05,6
Jul,2024,0,75503.65,590.75,126.33,2394.87,426.08,2.13,3.77,0.05,7
Ago,2024,0,80344.52,594.83,123.18,2471.99,406.81,2.03,3.75,0.05,8
Sep,2024,0,82859.16,594.83,128.86,2571.44,419.78,1.78,3.77,0.05,9
Oct,2024,0,83664.33,602.44,140.75,2691.56,432.69,2.01,3.76,0.05,10
Nov,2024,1,83498.29,605.81,136.04,2649.61,411.63,2.27,3.78,0.05,11
Dic,2024,0,82594.38,656.62,137.88,2638.56,404.31,1.97,3.74,0.05,12
Ene,2025,0,82268.91,560.57,129.88,2647.06,402.2,1.85,3.75,0.05,1
Feb,2025,0,83319.04,552.09,129.05,2896.13,422.39,1.48,3.7,0.05,2
Mar,2025,0,84289.49,575.79,128.59,2986.97,424.09,1.28,3.66,0.05,3
Abr,2025,0,84531.55,588.5,118.65,3227.95,416.58,1.65,3.71,0.05,4
May,2025,0,84939.13,613.28,119.74,3290.99,431.2,1.69,3.67,0.05,5
Jun,2025,1,86206.56,593.84,121.0,3353.0,437.0,1.69,3.61,0.05,6
Jul,2025,0,87331.92,610.16,125.14,3340.15,443.53,1.69,3.56,0.05,7
Ago,2025,1,87439.08,612.58,126.27,3368.03,437.52,1.1,3.55,0.05,8
Sep,2025,0,87846.35,612.58,132.9,3667.68,451.45,1.36,3.51,0.04,9
Oct,2025,0,89168.82,612.58,,,,1.35,3.42,0.04,10
Nov,2025,1,90017.62,612.58,,,,1.8,3.38,0.04,11
